Time(s),Position(V)
825.302000,1.803384
828.302000,1.853407
831.302000,1.903522
834.300000,1.954367
837.300000,2.003020
840.300000,2.053268
843.300000,2.102798
846.301000,2.149411
849.301000,2.197102
852.299000,2.243237
855.299000,2.291169
858.299000,2.324273
861.299000,2.372810
864.299000,2.415926
867.298000,2.458453
870.298000,2.480026
873.298000,2.525616
876.298000,2.567586
879.298000,2.604956
882.296000,2.641113
885.296000,2.680866
888.297000,2.718570
891.297000,2.759418
894.297000,2.796115
897.297000,2.835586
900.295000,2.876600
903.295000,2.919264
906.295000,2.960890
909.295000,3.000728
912.296000,3.038843
915.294000,3.076482
918.294000,3.111163
921.294000,3.145015
924.294000,3.181012
927.294000,3.211315
930.292000,3.237831
933.293000,3.264996
936.293000,3.287398
939.293000,3.312649
942.293000,3.330619
945.293000,3.353297
948.291000,3.369400
951.291000,3.392676
954.292000,3.407634
957.292000,3.422982
960.292000,3.439884
963.290000,3.447588
966.290000,3.466227
969.290000,3.470143
972.290000,3.482065
975.290000,3.484631
978.289000,3.503957
981.289000,3.510274
984.289000,3.507527
987.289000,3.521907
990.289000,3.519972
993.287000,3.524126
996.288000,3.528423
999.289000,3.528389
1002.287000,3.521332
1005.287000,3.520023
1008.287000,3.516416
1011.287000,3.512259
1014.287000,3.508285
1017.285000,3.499168
1020.286000,3.489499
1023.286000,3.482031
1026.286000,3.474100
1029.286000,3.463205
1032.286000,3.449277
1035.284000,3.436781
1038.284000,3.419794
1041.284000,3.405767
1044.285000,3.388202
1047.285000,3.373265
1050.283000,3.358192
1053.283000,3.336843
1056.283000,3.318126
1059.283000,3.298232
1062.283000,3.278893
1065.284000,3.258989
1068.282000,3.238075
1071.282000,3.211033
1074.282000,3.189126
1077.282000,3.162597
1080.282000,3.129711
1083.280000,3.102471
1086.281000,3.070271
1089.281000,3.037997
1092.281000,3.003064
1095.281000,2.967665
1098.279000,2.936839
1101.279000,2.897099
1104.279000,2.860963
1107.279000,2.823113
1110.280000,2.787184
1113.278000,2.752173
1116.278000,2.717563
1119.278000,2.683453
1122.278000,2.650920
1125.278000,2.618371
1128.278000,2.585018
1131.277000,2.551153
1134.277000,2.518889
1137.277000,2.485975
1140.277000,2.456543
1143.277000,2.423367
1146.275000,2.389713
1149.275000,2.354413
1152.276000,2.321098
1155.276000,2.286563
1158.276000,2.252752
1161.274000,2.217724
1164.274000,2.182046
1167.274000,2.147579
1170.274000,2.111596
1173.274000,2.075460
1176.275000,2.042067
1179.273000,2.003292
1182.273000,1.967765
1185.273000,1.930299
1188.273000,1.893864
1191.273000,1.857925
1194.271000,1.823305
1197.272000,1.789116
1200.272000,1.753850
1203.272000,1.722130
1206.272000,1.688193
1209.270000,1.655184
