Time(s),Position(V)
0.354000,-1.354801
3.368000,-1.357194
6.368000,-1.324226
9.368000,-1.345197
12.368000,-1.353302
15.366000,-1.323288
18.366000,-1.316040
21.366000,-1.305067
24.367000,-1.288511
27.367000,-1.277320
30.367000,-1.257396
33.365000,-1.238607
36.365000,-1.213427
39.365000,-1.190699
42.365000,-1.162184
45.366000,-1.133418
48.364000,-1.101357
51.364000,-1.068848
54.364000,-1.033667
57.364000,-0.997793
60.364000,-0.960103
63.363000,-0.917892
66.364000,-0.876442
69.364000,-0.832671
72.362000,-0.785139
75.362000,-0.739366
78.362000,-0.686878
81.362000,-0.633034
84.362000,-0.576498
87.360000,-0.518656
90.361000,-0.452975
93.361000,-0.390357
96.361000,-0.329041
99.360000,-0.261741
102.360000,-0.199980
105.360000,-0.137148
108.360000,-0.070461
111.359000,-0.002162
114.359000,0.066867
117.359000,0.135037
120.359000,0.206589
123.359000,0.274102
126.357000,0.351749
129.357000,0.418005
132.358000,0.498936
135.358000,0.576430
138.358000,0.648689
141.358000,0.728154
144.356000,0.808586
147.356000,0.890135
150.356000,0.965960
153.356000,1.042676
156.357000,1.125293
159.355000,1.206255
162.355000,1.288617
165.355000,1.371972
168.355000,1.448895
171.355000,1.531899
174.353000,1.616712
177.354000,1.701145
180.354000,1.784027
183.354000,1.867348
186.354000,1.951026
189.354000,2.035213
192.352000,2.104355
195.352000,2.186449
198.353000,2.264092
201.353000,2.337279
204.353000,2.407951
207.351000,2.475777
210.351000,2.543083
213.351000,2.613465
216.351000,2.681036
219.351000,2.750531
222.350000,2.818585
225.350000,2.891888
228.350000,2.968012
231.350000,3.047230
234.350000,3.120087
237.350000,3.183290
240.348000,3.245734
243.349000,3.303590
246.349000,3.361411
249.349000,3.414157
252.349000,3.463993
255.347000,3.512969
258.347000,3.562330
261.347000,3.612291
264.348000,3.666251
267.348000,3.721166
270.346000,3.779541
273.346000,3.834681
276.346000,3.884367
279.346000,3.924991
282.346000,3.963741
285.346000,4.000255
288.345000,4.030680
291.345000,4.060252
294.345000,4.086951
297.345000,4.109364
300.345000,4.136244
303.343000,4.155349
306.343000,4.177751
309.344000,4.196071
312.344000,4.217814
315.343000,4.237333
318.343000,4.255449
321.343000,4.267504
324.343000,4.281659
327.341000,4.283811
330.343000,4.298918
333.341000,4.297589
336.341000,4.310887
339.341000,4.306795
342.341000,4.300217
345.341000,4.296878
348.341000,4.294519
351.339000,4.281227
354.340000,4.271386
357.340000,4.260004
360.340000,4.248178
363.340000,4.228542
366.338000,4.215465
369.338000,4.193545
372.338000,4.175630
375.339000,4.154937
378.338000,4.133266
381.338000,4.109843
384.338000,4.087594
387.338000,4.062900
390.336000,4.036599
393.336000,4.007237
396.337000,3.973093
399.337000,3.939078
402.337000,3.903714
405.337000,3.865976
408.335000,3.825791
411.335000,3.778630
414.335000,3.730518
417.335000,3.677197
420.336000,3.623612
423.334000,3.573385
426.334000,3.525078
429.334000,3.479740
432.334000,3.437008
435.334000,3.392193
438.332000,3.347276
441.333000,3.297940
444.333000,3.250296
447.333000,3.199576
450.333000,3.145702
453.331000,3.090698
456.331000,3.026670
459.331000,2.965632
462.332000,2.899132
465.332000,2.835341
468.332000,2.771720
471.330000,2.711482
474.330000,2.653688
477.330000,2.598144
480.330000,2.540200
483.330000,2.484840
486.329000,2.432757
489.329000,2.374684
492.329000,2.316634
495.329000,2.256882
498.329000,2.195175
501.327000,2.135110
504.327000,2.073726
507.328000,2.010346
510.328000,1.947194
513.328000,1.881809
516.328000,1.820333
519.326000,1.758021
522.326000,1.695709
525.326000,1.633764
528.327000,1.573665
531.327000,1.511254
534.325000,1.454205
537.325000,1.394588
540.325000,1.335502
543.325000,1.280383
546.325000,1.223640
549.323000,1.170343
552.324000,1.117587
555.324000,1.067961
558.324000,1.014182
561.324000,0.961565
564.323000,0.909941
567.323000,0.859931
570.323000,0.813066
573.322000,0.767976
576.322000,0.722896
579.322000,0.676224
582.322000,0.635761
585.322000,0.592941
588.320000,0.551124
591.320000,0.511782
594.321000,0.474694
597.321000,0.436287
600.321000,0.401599
603.321000,0.367291
606.319000,0.339480
609.319000,0.307566
612.319000,0.274860
615.319000,0.250544
618.320000,0.223250
621.318000,0.197618
624.318000,0.174967
627.318000,0.151025
630.318000,0.132820
633.318000,0.111336
636.316000,0.096388
639.317000,0.081451
642.317000,0.063760
645.317000,0.054137
648.317000,0.042068
651.317000,0.037761
654.315000,0.023487
657.315000,0.017069
660.316000,0.015532
663.316000,0.013268
666.316000,0.008577
669.314000,0.016647
672.314000,0.029841
675.314000,0.023473
678.314000,0.033944
681.314000,0.031075
684.313000,0.049778
687.313000,0.063730
690.313000,0.071790
693.313000,0.086010
696.313000,0.094294
699.313000,0.114623
702.311000,0.128918
705.312000,0.147781
708.312000,0.166740
711.312000,0.182619
714.312000,0.202169
717.310000,0.227917
720.310000,0.249041
723.310000,0.274700
726.311000,0.303181
729.311000,0.326542
732.309000,0.355050
735.309000,0.386114
738.309000,0.415652
741.309000,0.448375
744.309000,0.482159
747.309000,0.514563
750.308000,0.548024
753.308000,0.583331
756.308000,0.619518
759.308000,0.658588
762.308000,0.697386
765.306000,0.736371
768.306000,0.772932
771.307000,0.813835
774.307000,0.855879
777.307000,0.897050
780.305000,0.937538
783.305000,0.983284
786.305000,1.025002
789.305000,1.069824
792.306000,1.111049
795.304000,1.154202
798.304000,1.197386
801.304000,1.243996
804.304000,1.292312
807.304000,1.337627
810.304000,1.381891
813.302000,1.431054
816.303000,1.480778
819.303000,1.525206
822.303000,1.574750
825.303000,1.626313
828.301000,1.673157
831.301000,1.721882
834.301000,1.765758
837.302000,1.812749
840.302000,1.861837
843.302000,1.910620
846.300000,1.957947
849.300000,2.003612
852.300000,2.051289
855.300000,2.095836
858.301000,2.141950
861.299000,2.185493
864.299000,2.228327
867.299000,2.269990
870.299000,2.302319
873.299000,2.346118
876.297000,2.385052
879.298000,2.424081
882.298000,2.461026
885.298000,2.484262
888.298000,2.521782
891.296000,2.553288
894.296000,2.589910
897.296000,2.624762
900.296000,2.654687
903.297000,2.688634
906.297000,2.718682
909.295000,2.747577
912.295000,2.778468
915.295000,2.805841
918.295000,2.838220
921.295000,2.867096
924.294000,2.897371
927.294000,2.924604
930.294000,2.950297
933.294000,2.974192
936.294000,2.997941
939.292000,3.023321
942.292000,3.044850
945.292000,3.068405
948.293000,3.084087
951.293000,3.105585
954.293000,3.118642
957.291000,3.135986
960.291000,3.151209
963.291000,3.159911
966.291000,3.174193
969.292000,3.165891
972.290000,3.181457
975.290000,3.186533
978.290000,3.194171
981.290000,3.192067
984.290000,3.188263
987.288000,3.200233
990.289000,3.204237
993.289000,3.183174
996.289000,3.198934
999.289000,3.200334
1002.287000,3.174951
1005.287000,3.169716
1008.287000,3.181858
1011.288000,3.154979
1014.288000,3.148700
1017.288000,3.137278
1020.286000,3.128585
1023.286000,3.113995
1026.286000,3.102542
1029.286000,3.087914
1032.286000,3.072039
1035.285000,3.053658
1038.285000,3.037011
1041.285000,3.017029
1044.285000,2.995707
1047.285000,2.971897
1050.285000,2.950607
1053.283000,2.927212
1056.284000,2.902501
1059.284000,2.876145
1062.284000,2.850139
1065.284000,2.824674
1068.282000,2.798025
1071.282000,2.773610
1074.282000,2.747611
1077.283000,2.718155
1080.283000,2.692363
1083.281000,2.665171
1086.281000,2.638169
1089.281000,2.611935
1092.281000,2.584019
1095.281000,2.553186
1098.281000,2.527459
1101.280000,2.496286
1104.280000,2.469607
1107.280000,2.443054
1110.280000,2.412931
1113.280000,2.382954
1116.278000,2.350575
1119.278000,2.319099
1122.279000,2.287413
1125.279000,2.254145
1128.279000,2.220056
1131.277000,2.187268
1134.277000,2.152182
1137.277000,2.119289
1140.277000,2.084319
1143.278000,2.049348
1146.276000,2.012610
1149.276000,1.977443
1152.276000,1.942952
1155.276000,1.904531
1158.276000,1.871285
1161.276000,1.833523
1164.274000,1.799512
1167.275000,1.762726
1170.275000,1.729745
1173.275000,1.694142
1176.275000,1.660222
1179.273000,1.626805
1182.273000,1.593933
1185.273000,1.562586
1188.274000,1.527283
1191.274000,1.494747
1194.272000,1.465916
1197.272000,1.434994
1200.272000,1.404341
1203.272000,1.372665
1206.272000,1.343668
1209.273000,1.316737
1212.271000,1.286985
1215.271000,1.259803
1218.271000,1.233260
1221.270000,1.205096
1224.270000,1.180341
1227.270000,1.156296
1230.270000,1.135543
1233.271000,1.110155
1236.269000,1.088528
1239.269000,1.066673
1242.269000,1.041738
1245.269000,1.021950
1248.269000,1.000462
1251.267000,0.983291
1254.268000,0.962663
1257.268000,0.946920
1260.268000,0.926778
1263.268000,0.909835
1266.266000,0.894674
1269.266000,0.877870
1272.266000,0.868002
1275.267000,0.850674
1278.266000,0.840469
1281.266000,0.829149
1284.266000,0.820722
1287.266000,0.810272
1290.264000,0.799642
1293.264000,0.790412
1296.264000,0.785898
1299.265000,0.779432
1302.265000,0.774448
1305.265000,0.795528
1308.263000,0.770406
1311.263000,0.763808
1314.263000,0.769699
1317.263000,0.782736
1320.264000,0.765389
1323.262000,0.775053
1326.262000,0.782264
1329.262000,0.786204
1332.262000,0.773242
1335.262000,0.796868
1338.260000,0.796790
1341.261000,0.808202
1344.261000,0.814266
1347.261000,0.807036
1350.261000,0.829356
1353.259000,0.831315
1356.259000,0.845249
1359.259000,0.854468
1362.259000,0.863344
1365.260000,0.877071
1368.260000,0.887361
1371.258000,0.902839
1374.259000,0.915203
1377.257000,0.929423
1380.257000,0.944489
1383.257000,0.963401
1386.258000,0.983022
1389.258000,0.996722
1392.258000,1.014209
1395.256000,1.036125
1398.256000,1.054469
1401.256000,1.074791
1404.256000,1.091632
1407.257000,1.118501
1410.255000,1.134934
1413.255000,1.156194
1416.255000,1.172491
1419.255000,1.198433
1422.255000,1.224993
1425.255000,1.243234
1428.253000,1.265011
1431.254000,1.292496
1434.254000,1.317206
1437.254000,1.339653
1440.254000,1.361474
1443.252000,1.383394
1446.252000,1.410892
1449.252000,1.439148
1452.253000,1.465124
1455.253000,1.488335
1458.251000,1.514899
1461.251000,1.545011
1464.251000,1.568970
1467.251000,1.595092
1470.251000,1.621030
1473.250000,1.647267
1476.250000,1.673280
1479.250000,1.700329
1482.250000,1.720512
1485.250000,1.749475
1488.250000,1.776110
1491.248000,1.801174
1494.248000,1.825827
1497.249000,1.851707
1500.249000,1.876554
1503.249000,1.901914
1506.247000,1.929290
1509.247000,1.953181
1512.247000,1.976148
1515.247000,1.998071
1518.248000,2.021748
1521.246000,2.046931
1524.246000,2.069157
1527.246000,2.092525
1530.246000,2.115267
1533.246000,2.134444
1536.246000,2.155932
1539.245000,2.174207
1542.245000,2.192874
1545.245000,2.217153
1548.245000,2.234384
1551.245000,2.250569
1554.243000,2.267832
1557.243000,2.286807
1560.243000,2.281430
1563.244000,2.312388
1566.244000,2.325119
1569.242000,2.339829
1572.242000,2.351598
1575.242000,2.368588
1578.242000,2.380840
1581.242000,2.390440
1584.241000,2.407152
1587.241000,2.420049
1590.241000,2.428650
1593.241000,2.433817
1596.241000,2.447646
1599.241000,2.459956
1602.239000,2.462736
1605.240000,2.465225
1608.240000,2.472024
1611.240000,2.476083
1614.240000,2.486716
1617.238000,2.489956
1620.238000,2.497132
1623.238000,2.501718
1626.238000,2.501772
1629.239000,2.508792
1632.239000,2.508959
1635.237000,2.511746
1638.237000,2.514024
1641.237000,2.517271
1644.237000,2.515931
1647.237000,2.515516
1650.236000,2.517407
1653.236000,2.517135
1656.236000,2.506443
1659.236000,2.502133
1662.236000,2.501840
1665.234000,2.503996
1668.234000,2.494280
1671.235000,2.489572
1674.235000,2.485795
1677.235000,2.491798
1680.233000,2.473819
1683.233000,2.472415
1686.233000,2.461649
1689.233000,2.459072
1692.233000,2.447578
1695.234000,2.438114
1698.232000,2.429255
1701.232000,2.420077
1704.232000,2.411768
1707.232000,2.396396
1710.232000,2.386735
1713.230000,2.375686
1716.231000,2.363081
1719.231000,2.350221
1722.231000,2.333550
1725.231000,2.319177
1728.229000,2.305464
1731.229000,2.291635
1734.229000,2.275022
1737.230000,2.261312
1740.230000,2.245507
1743.230000,2.229506
1746.228000,2.215857
1749.228000,2.200934
1752.228000,2.182580
1755.228000,2.169492
1758.228000,2.150849
1761.227000,2.137660
1764.227000,2.121244
1767.227000,2.101408
1770.227000,2.085961
1773.227000,2.066400
1776.225000,2.049107
1779.225000,2.032167
1782.226000,2.011706
1785.226000,1.992180
1788.226000,1.973530
1791.226000,1.955564
1794.224000,1.937431
1797.224000,1.918894
1800.224000,1.898273
1803.225000,1.882703
1806.225000,1.861586
1809.223000,1.840608
1812.223000,1.824379
1815.223000,1.809166
1818.223000,1.790772
1821.223000,1.773543
1824.221000,1.753735
1827.222000,1.737924
1830.222000,1.720784
1833.222000,1.699789
1836.222000,1.682754
1839.222000,1.666372
1842.220000,1.648851
1845.220000,1.632479
1848.221000,1.613670
1851.221000,1.596693
1854.221000,1.580182
1857.219000,1.563249
1860.219000,1.551212
1863.219000,1.536829
1866.219000,1.519328
1869.220000,1.503354
1872.218000,1.487414
1875.218000,1.476757
1878.218000,1.463087
1881.218000,1.446216
1884.218000,1.436711
1887.218000,1.419381
1890.217000,1.415699
1893.218000,1.402356
1896.216000,1.386623
1899.216000,1.375211
1902.216000,1.361280
1905.216000,1.353050
1908.216000,1.339690
1911.216000,1.328669
1914.215000,1.324355
1917.215000,1.312376
1920.215000,1.302657
1923.215000,1.290585
1926.215000,1.284092
1929.213000,1.277157
1932.213000,1.272646
1935.214000,1.258946
1938.214000,1.253154
1941.214000,1.245216
1944.212000,1.238094
1947.212000,1.232930
1950.212000,1.236976
1953.212000,1.235731
1956.212000,1.230894
1959.211000,1.218224
1962.211000,1.211262
1965.211000,1.210926
1968.211000,1.201067
1971.211000,1.200863
1974.211000,1.196593
1977.209000,1.195451
1980.210000,1.196556
1983.210000,1.189434
1986.210000,1.189791
1989.210000,1.184447
1992.209000,1.191583
1995.209000,1.184916
1998.209000,1.189502
2001.208000,1.200693
2004.208000,1.195387
2007.208000,1.183414
2010.208000,1.192885
2013.208000,1.207601
2016.206000,1.200802
2019.206000,1.198048
2022.206000,1.206574
2025.207000,1.196859
2028.207000,1.218554
2031.207000,1.217534
2034.205000,1.226849
2037.205000,1.234205
2040.205000,1.230969
2043.205000,1.234671
2046.206000,1.250951
2049.204000,1.253946
2052.204000,1.253286
2055.204000,1.274502
2058.204000,1.274815
2061.204000,1.277572
2064.202000,1.295106
2067.203000,1.288093
2070.203000,1.317648
2073.203000,1.318471
2076.203000,1.334316
2079.201000,1.337746
2082.201000,1.342148
2085.201000,1.357932
2088.201000,1.360033
2091.202000,1.375171
2094.202000,1.396142
2097.200000,1.407132
2100.200000,1.415400
2103.200000,1.424187
2106.200000,1.444768
2109.200000,1.453260
2112.199000,1.469288
2115.199000,1.470532
2118.199000,1.486381
2121.199000,1.505356
2124.199000,1.520732
2127.197000,1.529866
2130.197000,1.544576
2133.198000,1.556722
2136.198000,1.570398
2139.198000,1.587124
2142.198000,1.602326
2145.196000,1.615693
2148.196000,1.611406
2151.196000,1.636491
2154.196000,1.655562
2157.197000,1.662017
2160.195000,1.684171
2163.195000,1.692915
2166.195000,1.700033
2169.195000,1.715378
2172.194000,1.735663
2175.194000,1.746470
2178.195000,1.742465
2181.195000,1.769637
2184.193000,1.785105
2187.193000,1.800555
2190.193000,1.817376
2193.193000,1.830080
2196.193000,1.836318
2199.192000,1.856476
2202.192000,1.870601
2205.192000,1.883053
2208.192000,1.899286
2211.192000,1.913676
2214.192000,1.927059
2217.190000,1.939746
2220.190000,1.949438
2223.191000,1.965365
2226.191000,1.975233
2229.191000,1.985982
2232.189000,1.994444
2235.189000,2.009224
2238.189000,2.016278
2241.189000,2.029305
2244.190000,2.043828
2247.188000,2.048556
2250.188000,2.063408
2253.188000,2.071499
2256.188000,2.086066
2259.187000,2.090730
2262.187000,2.098763
2265.188000,2.109685
2268.188000,2.114897
2271.187000,2.123695
2274.187000,2.135185
2277.187000,2.137789
2280.185000,2.148613
2283.185000,2.150462
2286.185000,2.157696
2289.186000,2.167425
2292.186000,2.169135
2295.184000,2.171148
2298.184000,2.177991
2301.184000,2.186782
2304.184000,2.193601
2307.184000,2.196518
2310.183000,2.196888
2313.183000,2.206410
2316.183000,2.210561
2319.183000,2.203830
2322.183000,2.210269
2325.183000,2.211105
2328.181000,2.207821
2331.182000,2.215687
2334.182000,2.213461
2337.182000,2.213247
2340.182000,2.214994
2343.180000,2.217224
2346.180000,2.223717
2349.180000,2.212013
2352.180000,2.213026
2355.181000,2.210945
2358.179000,2.205560
2361.179000,2.203538
2364.179000,2.207767
2367.179000,2.204857
2370.179000,2.189838
2373.179000,2.187006
2376.178000,2.187601
2379.178000,2.181870
2382.178000,2.175682
2385.178000,2.174112
2388.178000,2.171382
2391.176000,2.166099
2394.176000,2.159266
2397.177000,2.152960
2400.177000,2.143524
2403.177000,2.135005
2406.175000,2.129096
2409.175000,2.121366
2412.175000,2.110896
2415.175000,2.102682
2418.175000,2.093871
2421.176000,2.080661
2424.174000,2.071129
2427.174000,2.062446
2430.174000,2.053067
2433.174000,2.042957
2436.174000,2.033745
2439.172000,2.023172
2442.173000,2.013236
2445.173000,2.005655
2448.173000,1.993482
2451.173000,1.982087
2454.171000,1.972609
2457.171000,1.966629
2460.171000,1.955924
2463.172000,1.942959
2466.172000,1.934657
2469.172000,1.927042
2472.170000,1.911534
2475.170000,1.901363
2478.170000,1.891705
2481.170000,1.883465
2484.170000,1.869694
2487.169000,1.862847
2490.169000,1.849270
2493.169000,1.837385
2496.169000,1.827163
2499.169000,1.820592
2502.167000,1.809476
2505.167000,1.796751
2508.168000,1.786621
2511.168000,1.772843
2514.168000,1.765813
2517.166000,1.750342
2520.166000,1.745260
2523.166000,1.731390
2526.166000,1.721977
2529.167000,1.709633
2532.167000,1.707815
2535.165000,1.710677
2538.166000,1.682699
2541.165000,1.669890
2544.165000,1.657934
2547.165000,1.646356
2550.163000,1.638500
2553.164000,1.628974
2556.164000,1.619973
2559.164000,1.609910
2562.164000,1.601918
2565.162000,1.590333
2568.162000,1.583010
2571.162000,1.573240
2574.163000,1.564701
2577.163000,1.558806
2580.163000,1.559340
2583.161000,1.569589
2586.161000,1.534745
2589.161000,1.530543
2592.161000,1.522694
2595.162000,1.513869
2598.160000,1.505982
2601.160000,1.498211
2604.160000,1.487927
2607.160000,1.483627
2610.160000,1.480224
2613.158000,1.476600
2616.159000,1.471521
2619.159000,1.462809
2622.159000,1.459970
2625.159000,1.452767
2628.157000,1.446845
2631.157000,1.444567
2634.157000,1.450486
2637.157000,1.447562
2640.158000,1.434627
2643.158000,1.429457
2646.156000,1.425153
