Time(s),Position(V)
786.304000,-0.455844
789.302000,-0.502328
792.303000,-0.548823
795.303000,-0.593726
798.303000,-0.642009
801.303000,-0.688115
804.301000,-0.735494
807.301000,-0.782423
810.301000,-0.827629
813.302000,-0.875490
816.302000,-0.924133
819.300000,-0.973402
822.300000,-1.020573
825.300000,-1.069521
828.300000,-1.119283
831.300000,-1.167698
834.298000,-1.219421
837.299000,-1.271307
840.299000,-1.321510
843.299000,-1.375034
846.299000,-1.427471
849.299000,-1.476053
852.297000,-1.527092
855.297000,-1.576435
858.298000,-1.622862
861.298000,-1.668235
864.298000,-1.710429
867.296000,-1.754037
870.296000,-1.795238
873.296000,-1.837269
876.296000,-1.881704
879.297000,-1.924319
882.297000,-1.969073
885.295000,-2.015085
888.295000,-2.064472
891.295000,-2.111378
894.295000,-2.157437
897.295000,-2.201746
900.293000,-2.247367
903.294000,-2.286977
906.294000,-2.322814
909.294000,-2.358169
912.294000,-2.387860
915.292000,-2.420804
918.292000,-2.444243
921.292000,-2.475372
924.293000,-2.503992
927.293000,-2.536131
930.291000,-2.569438
933.291000,-2.602355
936.291000,-2.632614
939.291000,-2.667350
942.291000,-2.698734
945.292000,-2.727952
948.290000,-2.753390
951.290000,-2.778784
954.290000,-2.802594
957.290000,-2.825149
960.290000,-2.840498
963.288000,-2.857862
966.288000,-2.874319
969.289000,-2.885612
972.289000,-2.895800
975.289000,-2.911006
978.287000,-2.916252
981.287000,-2.922979
984.287000,-2.931070
987.287000,-2.938742
990.288000,-2.934027
993.288000,-2.947683
996.286000,-2.943621
999.286000,-2.948373
1002.286000,-2.930546
1005.286000,-2.933776
1008.286000,-2.933164
1011.285000,-2.931882
1014.285000,-2.941717
1017.285000,-2.923302
1020.285000,-2.927810
1023.284000,-2.909405
1026.284000,-2.917067
1029.284000,-2.906182
1032.284000,-2.883858
1035.283000,-2.880666
1038.283000,-2.869397
1041.283000,-2.859056
1044.283000,-2.845618
1047.283000,-2.826999
1050.281000,-2.810916
1053.281000,-2.793755
1056.282000,-2.772329
1059.282000,-2.752489
1062.282000,-2.728268
1065.280000,-2.706797
1068.280000,-2.675277
1071.280000,-2.645104
1074.279000,-2.615817
1077.280000,-2.586439
1080.340000,-2.554525
1083.280000,-2.523240
1086.280000,-2.496802
1089.278000,-2.466826
1092.278000,-2.439933
1095.278000,-2.413614
1098.278000,-2.387812
1101.279000,-2.359644
1104.279000,-2.332343
1107.277000,-2.302044
1110.277000,-2.272679
1113.277000,-2.240632
1116.277000,-2.203011
1119.277000,-2.167364
1122.276000,-2.125802
1125.276000,-2.086491
1128.276000,-2.043008
1131.276000,-2.002041
1134.276000,-1.960622
1137.276000,-1.922841
1140.274000,-1.883757
1143.275000,-1.846975
1146.275000,-1.808659
1149.275000,-1.774420
1152.275000,-1.738835
1155.273000,-1.702284
1158.274000,-1.667011
1161.272000,-1.631384
1164.272000,-1.595367
1167.273000,-1.557854
1170.273000,-1.518910
1173.273000,-1.481995
1176.273000,-1.441076
1179.271000,-1.400530
1182.271000,-1.359961
1185.271000,-1.317665
1188.272000,-1.277885
1191.272000,-1.239668
1194.270000,-1.201475
1197.270000,-1.163744
1200.270000,-1.127965
1203.270000,-1.092070
1206.270000,-1.058371
1209.269000,-1.022296
1212.269000,-0.992585
1215.269000,-0.957785
1218.269000,-0.924732
1221.269000,-0.895829
1224.269000,-0.863558
1227.267000,-0.834027
1230.268000,-0.803979
1233.268000,-0.775985
1236.268000,-0.750842
1239.268000,-0.722566
1242.266000,-0.694979
1245.266000,-0.670918
1248.266000,-0.645826
1251.266000,-0.620731
1254.267000,-0.593111
1257.265000,-0.568774
1260.265000,-0.548197
1263.265000,-0.525104
1266.265000,-0.500118
1269.265000,-0.492470
1272.263000,-0.469476
1275.264000,-0.454817
1278.264000,-0.431929
1281.264000,-0.410390
1284.264000,-0.417461
1287.264000,-0.382167
1290.262000,-0.377014
1293.262000,-0.370273
1296.263000,-0.344416
