Time(s),Position(V)
0.355000,-1.002348
3.372000,-0.992309
6.372000,-0.975982
9.372000,-0.962860
12.370000,-0.944394
15.370000,-0.921859
18.370000,-0.895911
21.370000,-0.873379
24.371000,-0.837841
27.369000,-0.808902
30.369000,-0.775305
33.369000,-0.739543
36.369000,-0.696818
39.369000,-0.657904
42.369000,-0.609860
45.368000,-0.560099
48.368000,-0.510398
51.368000,-0.457448
54.368000,-0.406637
57.368000,-0.352300
60.366000,-0.297548
63.366000,-0.240689
66.367000,-0.181925
69.367000,-0.124073
72.367000,-0.063529
75.365000,0.001659
78.365000,0.070236
81.365000,0.129135
84.365000,0.200324
87.365000,0.269394
90.364000,0.343247
93.364000,0.414867
96.364000,0.490070
99.364000,0.563726
102.364000,0.595912
105.364000,0.654427
108.362000,0.759712
111.363000,0.876670
114.363000,0.956354
117.363000,1.029969
120.363000,1.115265
123.361000,1.198796
126.361000,1.280499
129.361000,1.362531
132.362000,1.443670
135.362000,1.528938
138.360000,1.618769
141.360000,1.704762
144.360000,1.791084
147.360000,1.878168
150.360000,1.965191
153.358000,2.054352
156.359000,2.123875
159.359000,2.212465
162.359000,2.295809
165.359000,2.372154
168.359000,2.447942
171.357000,2.522744
174.357000,2.599881
177.358000,2.674876
180.358000,2.751269
183.358000,2.831602
186.356000,2.916898
189.356000,3.005811
192.356000,3.093037
195.356000,3.174842
198.357000,3.249773
201.357000,3.319448
204.355000,3.383049
207.355000,3.428265
210.355000,3.492518
213.355000,3.555201
216.355000,3.623853
219.353000,3.697054
222.354000,3.776424
225.354000,3.848568
228.354000,3.912321
231.354000,3.967059
234.352000,4.020458
237.352000,4.068445
240.352000,4.114246
243.353000,4.159387
246.353000,4.207510
249.353000,4.259491
252.351000,4.314093
255.351000,4.363358
258.351000,4.409390
261.351000,4.449518
264.352000,4.490410
267.350000,4.522127
270.350000,4.546525
273.350000,4.571905
276.350000,4.596820
279.350000,4.625089
282.348000,4.650470
285.348000,4.669928
288.349000,4.693228
291.349000,4.711596
294.349000,4.729548
297.347000,4.750091
300.347000,4.765800
303.347000,4.780669
306.347000,4.790171
309.348000,4.805890
312.348000,4.811285
315.347000,4.817570
318.347000,4.823985
321.345000,4.806196
324.345000,4.817166
327.345000,4.811914
330.346000,4.788437
333.346000,4.780452
336.346000,4.765627
339.344000,4.751709
342.344000,4.736299
345.344000,4.715624
348.344000,4.698555
351.344000,4.677244
354.343000,4.657582
357.343000,4.637861
360.343000,4.614017
363.343000,4.591153
366.343000,4.568261
369.343000,4.547065
372.341000,4.518632
375.342000,4.491535
378.342000,4.461113
381.342000,4.428767
384.342000,4.393726
387.340000,4.351093
390.340000,4.301532
393.340000,4.249809
396.341000,4.196264
399.341000,4.149518
402.339000,4.104799
405.339000,4.065953
408.339000,4.023871
411.339000,3.981283
414.339000,3.940084
417.337000,3.891958
420.338000,3.840174
423.338000,3.785045
426.338000,3.724331
429.338000,3.658351
432.338000,3.591918
435.336000,3.530259
438.336000,3.475548
441.337000,3.424475
444.337000,3.373211
447.337000,3.318639
450.335000,3.265196
453.335000,3.211053
456.335000,3.153286
459.335000,3.092555
462.336000,3.026748
465.334000,2.956257
468.334000,2.885024
471.334000,2.815067
474.334000,2.750174
477.334000,2.688743
480.334000,2.627889
483.332000,2.569799
486.333000,2.512117
489.333000,2.457042
492.333000,2.401485
495.333000,2.343966
498.331000,2.287746
501.331000,2.230302
504.331000,2.170002
507.332000,2.112653
510.332000,2.052452
513.330000,1.991948
516.330000,1.932097
519.330000,1.871764
522.330000,1.811444
525.330000,1.753347
528.329000,1.695155
531.329000,1.636936
534.329000,1.580692
537.329000,1.524896
540.329000,1.471657
543.329000,1.420611
546.327000,1.368310
549.327000,1.316295
552.328000,1.268047
555.328000,1.218207
558.328000,1.172794
561.326000,1.132500
564.326000,1.086546
567.326000,1.043132
570.326000,1.002185
573.327000,0.962116
576.327000,0.922311
579.325000,0.887263
582.326000,0.848380
585.324000,0.815527
588.324000,0.780346
591.324000,0.747848
594.325000,0.717439
597.325000,0.686834
600.325000,0.658333
603.323000,0.631008
606.323000,0.604485
609.322000,0.582685
612.322000,0.559211
615.322000,0.536000
618.323000,0.516637
621.323000,0.500683
624.321000,0.483125
627.321000,0.468793
630.321000,0.453998
633.321000,0.441424
636.321000,0.430678
639.322000,0.426109
642.321000,0.414330
645.321000,0.417066
648.319000,0.407130
651.319000,0.410869
654.319000,0.421958
657.319000,0.405277
660.320000,0.424610
663.320000,0.404611
666.318000,0.425541
669.318000,0.438537
672.318000,0.422563
675.318000,0.444633
678.318000,0.447135
681.316000,0.468650
684.317000,0.483526
687.317000,0.496692
690.317000,0.509474
693.317000,0.523391
696.315000,0.543914
699.315000,0.564627
702.315000,0.581451
705.316000,0.604132
708.316000,0.629271
711.316000,0.653669
714.314000,0.675337
717.315000,0.703828
720.313000,0.732778
723.313000,0.757675
726.314000,0.787183
729.314000,0.819046
732.314000,0.849325
735.314000,0.879461
738.312000,0.914921
741.312000,0.949517
744.312000,0.984912
747.312000,1.020185
750.313000,1.056294
753.311000,1.093342
756.311000,1.131388
759.311000,1.167623
762.311000,1.207125
765.311000,1.247725
768.309000,1.289348
771.310000,1.331212
774.310000,1.371129
777.310000,1.417164
780.310000,1.463210
783.310000,1.506247
786.308000,1.552106
789.308000,1.599253
792.309000,1.646097
795.309000,1.693207
798.309000,1.739151
801.307000,1.788321
804.307000,1.832221
807.307000,1.881649
810.307000,1.929718
813.307000,1.977888
816.306000,2.025416
819.306000,2.072067
822.306000,2.118517
825.306000,2.161194
828.306000,2.205720
831.306000,2.250532
834.304000,2.293780
837.305000,2.337221
840.305000,2.377886
843.305000,2.416028
846.305000,2.454381
849.303000,2.492135
852.303000,2.527666
855.303000,2.569636
858.304000,2.608883
861.304000,2.643387
864.302000,2.683599
867.302000,2.719749
870.302000,2.758863
873.302000,2.797250
876.302000,2.827788
879.300000,2.867690
882.301000,2.907580
885.301000,2.948944
888.301000,2.986410
891.301000,3.024338
894.301000,3.060365
897.300000,3.097086
900.300000,3.129632
903.301000,3.162060
906.299000,3.194678
909.299000,3.211475
912.299000,3.241771
915.298000,3.263751
918.298000,3.287327
921.298000,3.310535
924.299000,3.326349
927.299000,3.349309
930.297000,3.366310
933.297000,3.385459
936.297000,3.399845
939.297000,3.411536
942.297000,3.432501
945.295000,3.442648
948.296000,3.456565
951.296000,3.464177
954.296000,3.476170
957.296000,3.486518
960.294000,3.488826
963.294000,3.502489
966.294000,3.507911
969.295000,3.507347
972.295000,3.516746
975.293000,3.515223
978.293000,3.520819
981.293000,3.523154
984.293000,3.517205
987.293000,3.519676
990.294000,3.520084
993.292000,3.521567
996.292000,3.504814
999.292000,3.503379
1002.292000,3.498307
1005.292000,3.486416
1008.290000,3.481052
1011.290000,3.474562
1014.291000,3.462307
1017.291000,3.451055
1020.291000,3.438878
1023.291000,3.423360
1026.289000,3.411584
1029.289000,3.395416
1032.289000,3.378232
1035.290000,3.364175
1038.290000,3.348558
1041.288000,3.328154
1044.288000,3.311731
1047.288000,3.292518
1050.288000,3.273335
1053.288000,3.254134
1056.287000,3.235196
1059.287000,3.210043
1062.287000,3.191615
1065.287000,3.166564
1068.287000,3.142656
1071.287000,3.117823
1074.285000,3.091276
1077.285000,3.061684
1080.286000,3.032279
1083.286000,2.998141
1086.286000,2.962692
1089.284000,2.929455
1092.284000,2.894169
1095.284000,2.859695
1098.284000,2.824534
1101.285000,2.792596
1104.283000,2.760828
1107.283000,2.729203
1110.283000,2.697170
1113.283000,2.665011
1116.283000,2.635351
1119.281000,2.604151
1122.282000,2.573691
1125.282000,2.542556
1128.281000,2.512301
1131.281000,2.482263
1134.281000,2.456369
1137.281000,2.425556
1140.280000,2.392340
1143.280000,2.361619
1146.281000,2.331123
1149.281000,2.299902
1152.279000,2.268627
1155.279000,2.234082
1158.279000,2.203324
1161.279000,2.170974
1164.279000,2.139512
1167.278000,2.108533
1170.278000,2.075548
1173.278000,2.044487
1176.278000,2.010526
1179.278000,1.978500
1182.278000,1.947222
1185.276000,1.914050
1188.277000,1.883193
1191.277000,1.849375
1194.277000,1.819579
1197.277000,1.791152
1200.275000,1.759775
1203.275000,1.731414
1206.275000,1.702100
1209.275000,1.672933
1212.276000,1.645863
1215.274000,1.618671
1218.274000,1.592529
1221.274000,1.567478
1224.274000,1.541751
1227.274000,1.518233
1230.272000,1.492486
1233.273000,1.473837
1236.273000,1.450360
1239.273000,1.430850
1242.273000,1.408866
1245.273000,1.389142
1248.271000,1.369262
1251.271000,1.351905
1254.272000,1.332395
1257.272000,1.317920
1260.272000,1.301283
1263.270000,1.284487
1266.270000,1.271620
1269.270000,1.256376
1272.270000,1.243805
1275.270000,1.233382
1278.271000,1.221998
1281.269000,1.210127
1284.269000,1.201081
1287.269000,1.197722
1290.269000,1.189890
1293.269000,1.178461
1296.267000,1.176781
1299.268000,1.174657
1302.268000,1.166430
1305.268000,1.159604
1308.268000,1.156123
1311.267000,1.160076
1314.267000,1.182292
1317.267000,1.170367
1320.266000,1.157041
1323.266000,1.175425
1326.266000,1.179851
1329.266000,1.186463
1332.266000,1.169354
1335.264000,1.194054
1338.264000,1.181051
1341.264000,1.197069
1344.265000,1.199466
1347.265000,1.219115
1350.263000,1.228375
1353.263000,1.237101
1356.263000,1.239950
1359.263000,1.255877
1362.263000,1.262013
1365.264000,1.279489
1368.262000,1.285143
1371.262000,1.301786
1374.262000,1.315833
1377.262000,1.330253
1380.262000,1.339575
1383.260000,1.356236
1386.261000,1.371292
1389.261000,1.384733
1392.261000,1.407999
1395.261000,1.425449
1398.261000,1.447049
1401.259000,1.458971
1404.259000,1.480255
1407.259000,1.498714
1410.260000,1.519569
1413.260000,1.539422
1416.258000,1.562382
1419.258000,1.583513
1422.258000,1.606324
1425.258000,1.630412
1428.258000,1.652050
1431.257000,1.675149
1434.257000,1.696760
1437.257000,1.721803
1440.257000,1.745613
1443.257000,1.769260
1446.256000,1.795568
1449.256000,1.819072
1452.257000,1.844772
1455.255000,1.870696
1458.255000,1.895241
1461.255000,1.923565
1464.255000,1.949428
1467.255000,1.976358
1470.253000,2.001606
1473.254000,2.027667
1476.254000,2.053669
1479.254000,2.079688
1482.254000,2.102553
1485.254000,2.129069
1488.252000,2.152005
1491.252000,2.173493
1494.252000,2.198075
1497.253000,2.224373
1500.253000,2.249849
1503.252000,2.274022
1506.252000,2.300031
1509.252000,2.322981
1512.250000,2.344765
1515.250000,2.366627
1518.251000,2.387054
1521.251000,2.408916
1524.251000,2.426301
1527.249000,2.442911
1530.249000,2.464270
1533.249000,2.481352
1536.249000,2.481692
1539.249000,2.517753
1542.248000,2.539411
1545.248000,2.550633
1548.248000,2.568011
1551.248000,2.587840
1554.248000,2.606612
1557.246000,2.625540
1560.246000,2.641351
1563.247000,2.657328
1566.247000,2.675413
1569.247000,2.690262
1572.247000,2.706124
1575.245000,2.721024
1578.245000,2.728989
1581.245000,2.740911
1584.246000,2.757011
1587.246000,2.767603
1590.244000,2.787626
1593.244000,2.793596
1596.244000,2.806320
1599.244000,2.821376
1602.244000,2.832074
1605.245000,2.838945
1608.243000,2.829776
1611.243000,2.864451
1614.243000,2.865858
1617.243000,2.876434
1620.243000,2.880149
1623.241000,2.883369
1626.241000,2.894165
1629.242000,2.878460
1632.242000,2.897646
1635.242000,2.886806
1638.240000,2.897466
1641.240000,2.914185
1644.240000,2.899037
1647.240000,2.895937
1650.241000,2.914073
1653.239000,2.906040
1656.239000,2.893526
1659.239000,2.905091
1662.239000,2.889025
1665.239000,2.882396
1668.239000,2.882910
1671.238000,2.874510
1674.238000,2.869448
1677.238000,2.865906
1680.238000,2.858254
1683.238000,2.852298
1686.236000,2.841117
1689.236000,2.835552
1692.236000,2.827033
1695.237000,2.816851
1698.237000,2.807030
1701.235000,2.796883
1704.235000,2.787738
1707.235000,2.779835
1710.235000,2.764884
1713.235000,2.754050
1716.236000,2.743097
1719.234000,2.731335
1722.235000,2.716921
1725.235000,2.704574
1728.233000,2.691503
1731.233000,2.676984
1734.233000,2.663294
1737.234000,2.647806
1740.234000,2.633328
1743.232000,2.620655
1746.232000,2.605364
1749.232000,2.589682
1752.232000,2.575561
1755.232000,2.558832
1758.230000,2.543776
1761.231000,2.527720
1764.231000,2.512362
1767.231000,2.493396
1770.231000,2.476569
1773.229000,2.461013
1776.229000,2.445107
1779.229000,2.427875
1782.230000,2.411931
1785.230000,2.391694
1788.230000,2.375425
1791.228000,2.355623
1794.228000,2.339003
1797.228000,2.320639
1800.228000,2.304260
1803.229000,2.284577
1806.227000,2.265017
1809.227000,2.247527
1812.227000,2.226141
1815.227000,2.209259
1818.227000,2.188424
1821.225000,2.169801
1824.225000,2.151325
1827.226000,2.133080
1830.226000,2.114564
1833.226000,2.095316
1836.226000,2.075626
1839.224000,2.057762
1842.224000,2.038446
1845.224000,2.018277
1848.225000,2.001443
1851.225000,1.981787
1854.223000,1.967047
1857.223000,1.946290
1860.223000,1.928620
1863.223000,1.910280
1866.223000,1.892949
1869.222000,1.877057
1872.222000,1.859182
1875.222000,1.842889
1878.222000,1.824083
1881.222000,1.812504
1884.222000,1.795402
1887.220000,1.779455
1890.220000,1.764467
1893.221000,1.747779
1896.221000,1.737832
1899.221000,1.723201
1902.219000,1.705887
1905.219000,1.694339
1908.219000,1.681275
1911.219000,1.668058
1914.220000,1.656612
1917.218000,1.646539
1920.218000,1.634478
1923.218000,1.621628
1926.218000,1.613143
1929.218000,1.605117
1932.218000,1.594072
1935.217000,1.584067
1938.217000,1.578112
1941.217000,1.565775
1944.217000,1.563355
1947.217000,1.556430
1950.215000,1.548482
1953.215000,1.539677
1956.215000,1.532032
1959.216000,1.524495
1962.216000,1.526848
1965.214000,1.530217
1968.214000,1.516316
1971.214000,1.517183
1974.214000,1.522816
1977.213000,1.507386
1980.214000,1.502610
1983.214000,1.502661
1986.214000,1.502426
1989.212000,1.501369
1992.212000,1.499710
1995.212000,1.516034
1998.212000,1.525862
2001.213000,1.504068
2004.211000,1.513848
2007.211000,1.531750
2010.211000,1.528371
2013.211000,1.514277
2016.211000,1.538946
2019.211000,1.545919
2022.209000,1.545079
2025.210000,1.545776
2028.210000,1.539463
2031.210000,1.566455
2034.210000,1.573244
2037.208000,1.577666
2040.208000,1.584258
2043.208000,1.593899
2046.209000,1.602544
2049.209000,1.613609
2052.207000,1.616580
2055.207000,1.627356
2058.207000,1.638741
2061.207000,1.646526
2064.207000,1.656622
2067.208000,1.663458
2070.206000,1.680656
2073.206000,1.680398
2076.206000,1.702212
2079.206000,1.711564
2082.205000,1.723265
2085.205000,1.735316
2088.205000,1.744862
2091.206000,1.762689
2094.204000,1.775029
2097.204000,1.782888
2100.204000,1.799607
2103.204000,1.810380
2106.204000,1.822584
2109.202000,1.833068
2112.203000,1.851082
2115.203000,1.864458
2118.203000,1.874392
2121.203000,1.877696
2124.201000,1.908080
2127.201000,1.923374
2130.201000,1.939345
2133.202000,1.953613
2136.202000,1.967445
2139.202000,1.978677
2142.200000,1.994083
2145.200000,2.008772
2148.200000,2.019630
2151.200000,2.029788
2154.200000,2.048206
2157.199000,2.055763
2160.199000,2.074117
2163.199000,2.086566
2166.199000,2.098025
2169.199000,2.110879
2172.197000,2.112062
2175.197000,2.129674
2178.198000,2.148371
2181.197000,2.156173
2184.197000,2.154412
2187.197000,2.180302
2190.197000,2.193112
2193.197000,2.194947
2196.195000,2.211853
2199.196000,2.226086
2202.196000,2.236747
2205.196000,2.229615
2208.196000,2.261920
2211.196000,2.267233
2214.194000,2.278768
2217.194000,2.292675
2220.194000,2.297458
2223.195000,2.307646
2226.195000,2.315169
2229.193000,2.323457
2232.193000,2.335019
2235.193000,2.338493
2238.193000,2.343154
2241.193000,2.347498
2244.192000,2.358060
2247.192000,2.368680
2250.192000,2.373613
2253.192000,2.377182
2256.192000,2.389267
2259.190000,2.383209
2262.190000,2.400706
2265.191000,2.393408
2268.191000,2.411952
2271.191000,2.407981
2274.191000,2.420175
2277.189000,2.421256
2280.189000,2.422579
2283.189000,2.426202
2286.189000,2.428456
2289.190000,2.432461
2292.188000,2.432695
2295.188000,2.437611
2298.188000,2.433902
2301.188000,2.437781
2304.188000,2.439824
2307.188000,2.438780
2310.187000,2.445963
2313.187000,2.434324
2316.187000,2.430611
2319.187000,2.430554
2322.187000,2.429972
2325.185000,2.429303
2328.185000,2.423071
2331.186000,2.420529
2334.186000,2.419519
2337.186000,2.419495
2340.184000,2.413927
2343.184000,2.401631
2346.184000,2.399551
2349.184000,2.390056
2352.184000,2.389611
2355.183000,2.382360
2358.183000,2.377233
2361.183000,2.370312
2364.183000,2.362486
2367.183000,2.351237
2370.183000,2.340896
2373.181000,2.337935
2376.182000,2.327805
2379.182000,2.318558
2382.182000,2.309822
2385.182000,2.304002
