Time(s),Position(V)
789.289000,-0.445251
792.289000,-0.483859
795.287000,-0.524894
798.287000,-0.564807
801.287000,-0.608575
804.287000,-0.649453
807.288000,-0.690298
810.288000,-0.731333
813.286000,-0.772408
816.286000,-0.809459
819.286000,-0.850831
822.286000,-0.891505
825.286000,-0.932931
828.285000,-0.971270
831.285000,-1.012363
834.285000,-1.053180
837.285000,-1.095524
840.285000,-1.136117
843.283000,-1.177179
846.283000,-1.218601
849.283000,-1.260755
852.284000,-1.302096
855.284000,-1.343243
858.282000,-1.385732
861.282000,-1.426604
864.282000,-1.464002
867.282000,-1.505009
870.282000,-1.542145
873.283000,-1.580423
876.281000,-1.614727
879.281000,-1.648089
882.281000,-1.682492
885.281000,-1.711414
888.281000,-1.743118
891.279000,-1.774457
894.280000,-1.800361
897.280000,-1.830702
900.280000,-1.858703
903.280000,-1.887921
906.278000,-1.916008
909.278000,-1.943282
912.278000,-1.970195
915.278000,-2.000223
918.279000,-2.026990
921.277000,-2.055807
924.277000,-2.081626
927.277000,-2.109580
930.277000,-2.131034
933.276000,-2.154497
936.276000,-2.179208
939.277000,-2.199288
942.277000,-2.218971
945.277000,-2.237566
948.275000,-2.256369
951.275000,-2.269854
954.275000,-2.286308
957.275000,-2.298484
960.276000,-2.310614
963.274000,-2.317117
966.274000,-2.328420
969.274000,-2.335545
972.274000,-2.344870
975.274000,-2.347573
978.272000,-2.351893
981.272000,-2.354858
984.273000,-2.356513
987.273000,-2.354681
990.273000,-2.361544
993.271000,-2.357434
996.271000,-2.362031
999.271000,-2.348164
1002.271000,-2.352985
1005.272000,-2.343585
1008.272000,-2.343656
1011.270000,-2.341120
1014.270000,-2.332680
1017.270000,-2.323114
1020.270000,-2.312956
1023.270000,-2.306480
1026.269000,-2.298525
1029.269000,-2.285036
1032.269000,-2.270656
1035.269000,-2.264745
1038.269000,-2.250355
1041.269000,-2.234354
1044.267000,-2.216935
1047.267000,-2.200866
1050.268000,-2.182005
1053.268000,-2.168401
1056.268000,-2.142629
1059.266000,-2.120866
1062.266000,-2.100932
1065.266000,-2.076265
1068.266000,-2.055345
1071.267000,-2.029352
1074.265000,-2.006314
1077.265000,-1.980234
1080.265000,-1.954830
1083.265000,-1.930197
1086.265000,-1.904517
1089.263000,-1.880425
1092.264000,-1.855528
1095.264000,-1.832123
1098.264000,-1.807116
1101.264000,-1.783395
1104.264000,-1.758018
1107.262000,-1.731893
1110.262000,-1.706594
1113.262000,-1.681635
1116.263000,-1.656126
1119.263000,-1.629997
1122.261000,-1.603172
1125.261000,-1.573281
1128.261000,-1.542091
1131.261000,-1.515527
1134.261000,-1.483787
1137.262000,-1.454194
1140.260000,-1.440178
1143.260000,-1.407112
1146.260000,-1.361780
1149.260000,-1.329318
1152.260000,-1.295922
1155.258000,-1.266153
1158.259000,-1.238288
1161.259000,-1.207149
1164.259000,-1.178559
1167.259000,-1.151119
1170.257000,-1.121928
1173.257000,-1.092390
1176.257000,-1.064609
1179.257000,-1.036016
1182.258000,-1.009528
1185.256000,-0.983610
1188.256000,-0.956578
1191.256000,-0.933414
1194.256000,-0.907279
1197.256000,-0.879777
1200.256000,-0.852697
1203.255000,-0.830312
1206.255000,-0.806607
1209.255000,-0.785201
1212.255000,-0.760901
1215.255000,-0.737992
1218.253000,-0.714458
1221.253000,-0.696434
1224.254000,-0.673698
1227.254000,-0.648950
1230.254000,-0.630712
1233.252000,-0.609581
1236.252000,-0.593910
1239.252000,-0.568737
1242.252000,-0.550356
1245.252000,-0.532570
