Time(s),Position(V)
0.349000,1.700553
3.363000,1.689801
6.363000,1.674473
9.361000,1.655881
12.361000,1.638755
15.362000,1.615037
18.362000,1.593413
21.362000,1.566217
24.362000,1.537495
27.360000,1.508008
30.360000,1.475125
33.360000,1.445043
36.360000,1.406704
39.361000,1.370724
42.359000,1.330879
45.359000,1.291687
48.359000,1.248452
51.359000,1.205765
54.359000,1.161831
57.357000,1.119888
60.358000,1.075110
63.358000,1.025951
66.358000,0.974887
69.358000,0.923175
72.356000,0.874617
75.356000,0.822605
78.357000,0.768136
81.356000,0.713992
84.356000,0.656647
87.356000,0.600189
90.356000,0.540844
93.356000,0.483118
96.354000,0.422043
99.354000,0.361278
102.354000,0.301121
105.355000,0.238618
108.355000,0.177007
111.355000,0.113933
114.353000,0.049653
117.353000,-0.015399
120.353000,-0.080452
123.353000,-0.144926
126.354000,-0.207547
129.352000,-0.273558
132.352000,-0.339096
135.352000,-0.406215
138.352000,-0.472549
141.352000,-0.539868
144.352000,-0.609207
147.351000,-0.674351
150.351000,-0.740324
153.351000,-0.803796
156.351000,-0.868083
159.351000,-0.931350
162.349000,-0.993326
165.349000,-1.057243
168.349000,-1.121217
171.350000,-1.185212
174.350000,-1.251427
177.348000,-1.315153
180.348000,-1.381344
183.348000,-1.444710
186.348000,-1.505767
189.348000,-1.565622
192.347000,-1.622607
195.347000,-1.677352
198.347000,-1.728748
201.347000,-1.779778
204.347000,-1.827367
207.347000,-1.877757
210.345000,-1.927634
213.346000,-1.979707
216.346000,-2.031076
219.346000,-2.089112
222.346000,-2.143347
225.344000,-2.192829
228.344000,-2.242319
231.344000,-2.286583
234.344000,-2.326227
237.345000,-2.363849
240.343000,-2.397783
243.343000,-2.430638
246.343000,-2.459323
249.343000,-2.486825
252.343000,-2.517933
255.343000,-2.552322
258.343000,-2.582608
261.343000,-2.610776
264.342000,-2.643737
267.342000,-2.674339
270.341000,-2.703316
273.341000,-2.725433
276.341000,-2.748566
279.340000,-2.766352
282.340000,-2.785280
285.340000,-2.800136
288.340000,-2.814767
291.340000,-2.829066
294.340000,-2.835494
297.338000,-2.843116
300.338000,-2.850982
303.339000,-2.852906
306.339000,-2.848307
309.339000,-2.842167
312.337000,-2.836017
315.337000,-2.831132
318.337000,-2.825924
321.337000,-2.820937
324.338000,-2.816661
327.338000,-2.800826
330.336000,-2.797090
333.336000,-2.782935
336.336000,-2.763623
339.335000,-2.748529
342.335000,-2.731015
345.336000,-2.710829
348.336000,-2.684065
351.336000,-2.657655
354.334000,-2.630187
357.334000,-2.602610
360.334000,-2.572525
363.334000,-2.542460
366.334000,-2.512705
369.333000,-2.483487
372.333000,-2.456882
375.333000,-2.426851
378.333000,-2.397433
381.333000,-2.368184
384.332000,-2.339190
387.332000,-2.303958
390.333000,-2.269042
393.331000,-2.230692
396.331000,-2.185816
399.331000,-2.141491
402.331000,-2.093228
405.331000,-2.044919
408.329000,-1.995565
411.330000,-1.946684
414.330000,-1.900204
417.330000,-1.853328
420.330000,-1.808258
423.328000,-1.765548
426.328000,-1.717285
429.328000,-1.677026
432.328000,-1.631038
435.329000,-1.582585
438.329000,-1.531093
441.327000,-1.478103
444.327000,-1.438798
