Time(s),Position(V)
0.351000,1.615560
3.366000,1.604580
6.366000,1.590798
9.365000,1.574807
12.365000,1.559105
15.365000,1.539711
18.365000,1.515898
21.365000,1.492258
24.363000,1.468608
27.363000,1.443853
30.364000,1.412503
33.364000,1.378845
36.364000,1.342345
39.364000,1.312148
42.362000,1.275376
45.362000,1.238067
48.362000,1.198793
51.362000,1.160250
54.363000,1.120218
57.361000,1.080760
60.361000,1.035734
63.361000,0.987941
66.361000,0.943510
69.361000,0.893107
72.359000,0.843961
75.360000,0.793846
78.360000,0.743357
81.360000,0.689700
84.359000,0.634312
87.359000,0.579102
90.359000,0.522909
93.359000,0.467361
96.358000,0.408942
99.358000,0.352633
102.358000,0.294108
105.358000,0.232639
108.358000,0.173838
111.356000,0.112182
114.356000,0.051798
117.356000,-0.009665
120.357000,-0.070943
123.357000,-0.133014
126.357000,-0.192899
129.355000,-0.255395
132.355000,-0.318356
135.355000,-0.380838
138.355000,-0.444038
141.356000,-0.506132
144.354000,-0.568801
147.354000,-0.632157
150.354000,-0.694789
153.354000,-0.755891
156.354000,-0.814130
159.354000,-0.873485
162.354000,-0.933730
165.354000,-0.992432
168.352000,-1.051402
171.352000,-1.110254
174.352000,-1.167293
177.352000,-1.226729
180.352000,-1.283205
183.350000,-1.341580
186.351000,-1.401509
189.351000,-1.456768
192.351000,-1.511329
195.351000,-1.563222
198.351000,-1.615342
201.349000,-1.663098
204.349000,-1.707407
207.350000,-1.753660
210.350000,-1.796476
213.350000,-1.840427
216.348000,-1.883366
219.348000,-1.924700
222.349000,-1.968764
225.348000,-2.011662
228.349000,-2.055345
231.347000,-2.101758
234.347000,-2.145723
237.347000,-2.185493
240.347000,-2.220355
243.347000,-2.258578
246.347000,-2.289850
249.345000,-2.318001
252.346000,-2.344398
255.346000,-2.370699
258.346000,-2.391021
261.346000,-2.411931
264.344000,-2.432903
267.344000,-2.450848
270.344000,-2.469474
273.345000,-2.483687
276.345000,-2.498662
279.343000,-2.511440
282.343000,-2.526714
285.343000,-2.541532
288.343000,-2.536552
291.343000,-2.556558
294.342000,-2.569262
297.342000,-2.568014
300.342000,-2.575592
303.342000,-2.571869
306.342000,-2.577080
309.342000,-2.580990
312.340000,-2.559308
315.340000,-2.556650
318.341000,-2.550402
321.341000,-2.545741
324.341000,-2.540553
327.339000,-2.521992
330.339000,-2.512851
333.339000,-2.498845
336.339000,-2.484149
339.340000,-2.474281
342.340000,-2.461400
345.339000,-2.442540
348.339000,-2.427606
351.337000,-2.415249
354.337000,-2.398469
357.337000,-2.370152
360.338000,-2.351618
363.338000,-2.329668
366.338000,-2.304070
369.336000,-2.279774
372.336000,-2.247224
375.336000,-2.217621
378.336000,-2.184800
381.336000,-2.151804
384.335000,-2.112289
387.335000,-2.075167
390.335000,-2.032062
393.335000,-1.991435
396.335000,-1.952627
399.333000,-1.913393
402.333000,-1.873786
405.334000,-1.833656
408.334000,-1.795623
411.334000,-1.758388
414.332000,-1.718145
417.332000,-1.682662
420.332000,-1.643089
423.332000,-1.603577
426.333000,-1.563086
429.333000,-1.516139
432.331000,-1.472035
435.331000,-1.428834
438.331000,-1.378152
441.331000,-1.330331
444.331000,-1.280094
447.329000,-1.232937
450.330000,-1.185140
453.330000,-1.140036
456.330000,-1.093287
459.330000,-1.046806
462.328000,-1.000693
465.329000,-0.954280
468.329000,-0.907316
471.328000,-0.864364
474.328000,-0.819352
477.328000,-0.772606
480.328000,-0.729198
483.328000,-0.683237
486.326000,-0.638596
489.326000,-0.593060
492.327000,-0.547364
495.327000,-0.502039
498.327000,-0.457085
501.327000,-0.415876
504.325000,-0.374342
507.325000,-0.330115
510.325000,-0.286588
513.325000,-0.241576
516.326000,-0.205664
519.324000,-0.163252
