Time(s),Position(V)
0.343000,-1.055862
3.356000,-1.042292
6.356000,-1.027739
9.356000,-1.013831
12.356000,-0.993003
15.355000,-0.966491
18.355000,-0.949605
21.355000,-0.920367
24.355000,-0.892957
27.355000,-0.866730
30.353000,-0.834687
33.353000,-0.803075
36.353000,-0.773894
39.354000,-0.738856
42.354000,-0.702539
45.354000,-0.665825
48.352000,-0.626878
51.352000,-0.581060
54.352000,-0.541898
57.352000,-0.495556
60.353000,-0.453641
63.351000,-0.405076
66.351000,-0.352922
69.351000,-0.299108
72.351000,-0.243208
75.351000,-0.186722
78.351000,-0.140738
81.350000,-0.081665
84.350000,-0.024602
87.350000,0.034144
90.350000,0.095698
93.350000,0.157599
96.348000,0.216179
99.348000,0.282400
102.348000,0.346834
105.349000,0.412960
108.349000,0.479749
111.347000,0.543299
114.347000,0.612841
117.347000,0.684658
120.347000,0.757006
123.347000,0.821436
126.346000,0.892457
129.346000,0.965807
132.346000,1.036305
135.346000,1.109370
138.346000,1.172688
141.346000,1.245104
144.344000,1.321180
147.345000,1.398389
150.345000,1.474720
153.345000,1.545150
156.345000,1.622124
159.343000,1.693071
162.344000,1.775811
165.344000,1.854318
168.342000,1.933162
171.343000,2.010329
174.343000,2.088262
177.343000,2.155415
180.343000,2.228809
183.341000,2.301279
186.341000,2.354617
189.341000,2.423024
192.342000,2.484384
195.342000,2.549661
198.340000,2.615767
201.340000,2.678521
204.340000,2.743066
207.340000,2.808193
210.340000,2.879731
213.341000,2.946208
216.339000,3.017386
219.339000,3.088570
222.338000,3.151926
225.338000,3.216621
228.338000,3.273304
231.338000,3.329079
234.338000,3.382107
237.337000,3.430614
240.337000,3.478764
243.337000,3.526462
246.337000,3.570787
249.337000,3.621082
252.337000,3.670456
255.335000,3.727842
258.336000,3.774340
261.336000,3.825356
264.336000,3.867785
267.336000,3.908476
270.334000,3.947533
273.334000,3.986440
276.334000,4.011630
279.335000,4.046171
282.335000,4.072935
285.333000,4.100301
288.333000,4.122846
291.333000,4.148084
294.333000,4.160478
297.333000,4.175130
300.333000,4.203346
303.332000,4.224473
306.332000,4.245723
309.332000,4.261170
312.332000,4.278140
315.332000,4.293163
318.330000,4.306577
321.330000,4.313257
324.331000,4.320885
327.331000,4.335636
330.331000,4.337682
333.329000,4.344070
336.329000,4.339052
339.329000,4.338770
342.329000,4.337308
345.330000,4.327847
348.330000,4.328099
351.328000,4.305190
354.328000,4.296253
357.328000,4.281414
360.328000,4.264991
363.328000,4.251363
366.326000,4.229552
369.327000,4.210100
372.327000,4.190006
375.327000,4.169963
378.327000,4.145861
381.325000,4.126592
384.325000,4.102721
387.325000,4.081098
390.326000,4.054762
393.326000,4.031503
396.324000,4.006568
399.324000,3.978583
402.324000,3.947526
405.324000,3.917913
408.324000,3.883681
411.325000,3.849713
414.323000,3.807975
417.323000,3.766637
420.323000,3.721502
423.323000,3.672605
426.323000,3.624319
429.321000,3.579405
432.321000,3.534858
435.322000,3.493069
438.322000,3.452459
441.322000,3.412661
444.322000,3.370926
447.320000,3.327977
450.320000,3.284655
453.320000,3.241750
456.321000,3.196558
459.321000,3.149339
462.319000,3.099357
465.319000,3.043939
468.319000,2.987011
471.319000,2.930591
474.319000,2.872293
477.318000,2.814336
480.318000,2.761787
483.318000,2.710880
486.318000,2.659681
489.318000,2.611402
492.316000,2.562286
495.316000,2.514469
498.316000,2.469695
501.317000,2.426172
504.317000,2.380146
507.317000,2.329056
510.315000,2.282028
513.315000,2.230948
516.315000,2.183192
519.315000,2.134100
522.316000,2.083792
525.314000,2.034673
528.314000,1.984833
531.314000,1.933148
534.314000,1.883145
537.314000,1.836406
540.312000,1.789024
543.313000,1.740565
546.313000,1.694241
549.313000,1.649874
552.313000,1.605501
555.312000,1.563202
558.312000,1.518475
561.312000,1.477868
564.310000,1.437568
567.311000,1.399076
570.311000,1.359822
573.311000,1.324315
576.311000,1.288182
579.311000,1.252205
582.309000,1.218775
585.309000,1.186222
588.310000,1.155708
