Time(s),Position(V)
0.354000,1.777952
3.369000,1.777929
6.369000,1.768135
9.367000,1.829352
12.367000,1.778234
15.367000,1.769511
18.367000,1.760234
21.367000,1.747167
24.366000,1.738430
27.366000,1.721158
30.366000,1.702008
33.366000,1.685487
36.366000,1.662809
39.366000,1.641522
42.364000,1.613456
45.365000,1.588334
48.365000,1.559051
51.365000,1.527687
54.365000,1.501131
57.363000,1.465933
60.363000,1.426802
63.363000,1.389088
66.363000,1.348774
69.364000,1.306144
72.362000,1.263974
75.362000,1.220349
78.362000,1.176098
81.362000,1.135906
84.362000,1.086176
87.360000,1.036676
90.361000,0.983651
93.361000,0.930902
96.361000,0.878105
99.361000,0.823540
102.361000,0.768081
105.359000,0.710770
108.359000,0.651799
111.360000,0.591268
114.360000,0.530843
117.360000,0.470934
120.358000,0.406501
123.358000,0.343543
126.358000,0.279242
129.358000,0.214003
132.358000,0.148825
135.359000,0.081801
138.357000,0.014359
141.357000,-0.056166
144.357000,-0.124437
147.357000,-0.191437
150.357000,-0.259736
153.355000,-0.329581
156.356000,-0.402013
159.356000,-0.472855
162.356000,-0.544468
165.356000,-0.618189
168.354000,-0.688775
171.355000,-0.759616
174.355000,-0.828119
177.354000,-0.897169
180.354000,-0.967170
183.354000,-1.036196
186.354000,-1.108207
189.354000,-1.177672
192.352000,-1.252623
195.352000,-1.324066
198.352000,-1.397933
201.353000,-1.468112
204.353000,-1.539194
207.351000,-1.605834
210.351000,-1.669757
213.351000,-1.730965
216.351000,-1.790860
219.351000,-1.849048
222.352000,-1.909606
225.350000,-1.972772
228.350000,-2.040775
231.350000,-2.112724
234.350000,-2.176726
237.350000,-2.241503
240.348000,-2.298858
243.349000,-2.351802
246.349000,-2.400081
249.349000,-2.446351
252.349000,-2.491380
255.347000,-2.541998
258.347000,-2.595703
261.347000,-2.650257
264.347000,-2.708055
267.348000,-2.760175
270.348000,-2.809053
273.346000,-2.852243
276.346000,-2.889583
279.346000,-2.922921
282.346000,-2.952378
285.346000,-2.981542
288.345000,-3.011164
291.345000,-3.043742
294.345000,-3.074901
297.345000,-3.102879
300.345000,-3.136139
303.343000,-3.169865
306.343000,-3.201395
309.344000,-3.231453
312.344000,-3.259029
315.344000,-3.282853
318.342000,-3.303035
321.342000,-3.318612
324.342000,-3.330333
327.342000,-3.341038
330.342000,-3.344900
333.343000,-3.356009
336.341000,-3.357114
339.341000,-3.363155
342.341000,-3.361918
345.341000,-3.361948
348.341000,-3.350995
351.339000,-3.339213
354.340000,-3.345444
357.340000,-3.327729
360.340000,-3.322069
363.340000,-3.311283
366.340000,-3.293558
369.338000,-3.279654
372.338000,-3.258839
375.339000,-3.242998
378.339000,-3.218603
381.339000,-3.194633
384.337000,-3.165116
387.337000,-3.133124
390.337000,-3.099595
393.337000,-3.070730
396.337000,-3.040971
399.336000,-3.012286
402.336000,-2.984163
405.337000,-2.955434
408.335000,-2.924832
411.335000,-2.896490
414.335000,-2.866092
417.335000,-2.831313
420.336000,-2.792681
423.334000,-2.750902
426.334000,-2.706947
429.334000,-2.655530
432.334000,-2.602954
435.334000,-2.551527
438.332000,-2.505709
441.333000,-2.460598
444.333000,-2.418781
447.333000,-2.379538
450.333000,-2.337164
453.333000,-2.293389
456.331000,-2.245708
459.331000,-2.192649
462.331000,-2.138060
465.332000,-2.080491
468.332000,-2.020055
471.331000,-1.962013
474.331000,-1.905731
477.331000,-1.852339
480.330000,-1.800419
483.330000,-1.751681
486.329000,-1.698350
489.329000,-1.649524
492.329000,-1.597855
495.329000,-1.545983
498.329000,-1.486996
501.329000,-1.429541
504.327000,-1.372016
507.328000,-1.310836
510.328000,-1.249832
513.328000,-1.192762
516.328000,-1.137905
519.326000,-1.082361
522.326000,-1.019916
525.326000,-0.968942
528.326000,-0.917756
531.327000,-0.864432
534.327000,-0.810979
537.325000,-0.761418
540.325000,-0.710797
543.325000,-0.659468
546.325000,-0.612338
549.325000,-0.561628
552.324000,-0.508413
555.324000,-0.463584
558.324000,-0.415006
561.324000,-0.367815
564.324000,-0.322922
567.322000,-0.282920
570.322000,-0.236908
573.323000,-0.191512
576.323000,-0.152092
579.323000,-0.115041
582.321000,-0.072776
585.321000,-0.032013
588.321000,0.002788
591.321000,0.038169
594.321000,0.075597
597.322000,0.109816
600.320000,0.147785
603.320000,0.180233
606.319000,0.208363
609.319000,0.239502
612.319000,0.269404
615.319000,0.299000
618.320000,0.325808
621.320000,0.350695
624.318000,0.367179
627.318000,0.397394
630.318000,0.417009
633.318000,0.436736
636.318000,0.454936
639.317000,0.456442
642.317000,0.482968
645.317000,0.495339
648.317000,0.507057
651.317000,0.522779
654.315000,0.522745
657.315000,0.538101
660.315000,0.543285
663.316000,0.547273
666.316000,0.553616
669.314000,0.548078
672.314000,0.557522
675.314000,0.554054
678.314000,0.552263
681.313000,0.544760
684.314000,0.546147
687.314000,0.540698
690.314000,0.526097
693.312000,0.516609
696.312000,0.508777
699.312000,0.498970
702.312000,0.486286
705.313000,0.471862
708.313000,0.454654
711.311000,0.436348
714.311000,0.419371
717.311000,0.401123
720.311000,0.380090
723.311000,0.360064
726.310000,0.342928
729.311000,0.316837
732.311000,0.295621
735.309000,0.268711
738.309000,0.244119
741.309000,0.217470
744.309000,0.189625
