Time(s),Position(V)
0.454000,-0.983736
3.468000,-1.005459
6.468000,-0.942188
9.466000,-0.996793
12.466000,-0.991269
15.467000,-0.974802
18.467000,-0.962717
21.467000,-0.952747
24.467000,-0.938003
27.465000,-0.920669
30.465000,-0.903774
33.465000,-0.885383
36.465000,-0.859513
39.466000,-0.841135
42.464000,-0.813943
45.464000,-0.784925
48.464000,-0.756485
51.464000,-0.724408
54.464000,-0.690910
57.463000,-0.655542
60.464000,-0.618382
63.464000,-0.578031
66.462000,-0.533862
69.462000,-0.488322
72.462000,-0.443786
75.462000,-0.399025
78.462000,-0.353840
81.463000,-0.297300
84.461000,-0.243867
87.461000,-0.192137
90.460000,-0.140976
93.460000,-0.084935
96.460000,-0.027519
99.460000,0.031330
102.460000,0.095073
105.459000,0.154455
108.459000,0.206415
111.459000,0.266950
114.459000,0.332280
117.459000,0.396857
120.459000,0.461416
123.457000,0.526920
126.458000,0.589739
129.458000,0.654628
132.458000,0.722848
135.458000,0.794080
138.456000,0.863062
141.457000,0.928247
144.457000,0.994788
147.456000,1.063396
150.456000,1.132524
153.456000,1.200652
156.456000,1.268910
159.456000,1.340153
162.454000,1.410018
165.454000,1.485541
168.454000,1.557028
171.455000,1.633567
174.455000,1.702851
177.453000,1.768978
180.453000,1.839279
183.453000,1.912789
186.452000,1.982311
189.452000,2.049042
192.453000,2.116566
195.453000,2.180217
198.453000,2.245130
201.451000,2.300137
204.451000,2.361810
207.451000,2.421943
210.451000,2.479282
213.451000,2.534941
216.451000,2.579076
219.451000,2.633073
222.451000,2.686853
225.449000,2.739551
228.449000,2.794177
231.449000,2.850251
234.449000,2.907053
237.450000,2.963939
240.450000,3.017433
243.448000,3.070312
246.448000,3.119958
249.448000,3.161132
252.448000,3.206239
255.448000,3.248879
258.447000,3.285909
261.447000,3.322028
264.447000,3.355928
267.447000,3.385942
270.447000,3.417849
273.445000,3.446153
276.445000,3.473627
279.446000,3.499371
282.446000,3.522070
285.446000,3.547736
288.446000,3.574024
291.444000,3.596062
294.444000,3.618169
297.444000,3.638641
300.444000,3.658759
303.445000,3.673655
306.443000,3.687987
309.443000,3.703475
312.443000,3.711617
315.443000,3.726442
318.443000,3.730273
321.441000,3.721084
324.442000,3.734869
327.442000,3.724919
330.442000,3.724647
333.442000,3.722478
336.440000,3.707140
339.440000,3.700834
342.440000,3.687960
345.441000,3.674862
348.441000,3.660530
351.440000,3.643944
354.440000,3.624064
357.440000,3.603711
360.438000,3.581982
363.439000,3.560732
366.439000,3.535474
369.438000,3.516573
372.438000,3.491107
375.438000,3.468929
378.438000,3.441696
381.438000,3.415201
384.436000,3.392404
387.436000,3.366140
390.437000,3.330738
393.437000,3.301676
396.437000,3.272005
399.437000,3.240418
402.435000,3.201766
405.435000,3.166826
408.435000,3.126763
411.436000,3.085178
414.436000,3.040924
417.434000,2.991047
420.435000,2.939871
423.435000,2.889675
426.433000,2.838356
429.433000,2.787623
432.433000,2.738664
435.434000,2.691360
438.434000,2.643968
441.432000,2.598259
444.432000,2.550147
447.432000,2.502707
450.432000,2.458752
453.432000,2.411530
456.431000,2.363374
459.431000,2.316114
462.431000,2.265581
465.431000,2.214239
468.431000,2.163121
471.431000,2.111596
474.429000,2.056807
477.430000,2.001922
480.430000,1.947494
483.430000,1.888703
486.430000,1.833459
489.428000,1.777687
492.428000,1.721052
495.428000,1.666141
498.429000,1.610641
501.429000,1.555791
504.427000,1.501209
507.427000,1.449449
510.427000,1.396077
513.427000,1.342594
516.427000,1.293709
519.427000,1.240902
522.426000,1.190406
525.426000,1.144976
528.426000,1.096296
531.426000,1.050376
534.426000,1.001682
537.424000,0.954895
540.424000,0.909149
543.425000,0.863038
546.425000,0.820644
549.425000,0.778229
552.423000,0.736429
555.423000,0.694347
558.423000,0.652224
561.423000,0.614905
564.423000,0.574808
567.422000,0.536670
570.422000,0.499520
573.422000,0.462748
576.422000,0.427649
579.422000,0.392176
582.422000,0.361036
585.420000,0.332355
588.421000,0.298874
591.421000,0.268170
594.421000,0.241501
597.421000,0.214955
600.419000,0.187722
603.419000,0.164911
606.419000,0.138528
609.420000,0.114327
612.420000,0.094624
615.420000,0.074639
618.418000,0.055792
621.419000,0.040658
624.417000,0.025034
627.417000,0.008570
630.417000,-0.003236
633.418000,-0.016158
636.418000,-0.026291
639.418000,-0.035902
642.416000,-0.038431
645.416000,-0.044971
648.416000,-0.050380
651.416000,-0.059253
654.417000,-0.065358
657.415000,-0.065300
660.415000,-0.055717
663.415000,-0.040838
666.415000,-0.057923
669.415000,-0.036830
672.413000,-0.048837
675.414000,-0.029208
678.414000,-0.014760
681.414000,-0.007802
684.414000,0.004596
687.412000,0.016885
690.412000,0.025544
693.412000,0.046029
696.412000,0.047321
699.412000,0.063240
702.412000,0.088335
705.412000,0.106886
708.412000,0.118808
711.410000,0.142196
714.410000,0.166016
717.410000,0.183649
720.411000,0.208924
723.411000,0.228872
726.411000,0.258539
729.409000,0.281428
732.409000,0.307573
735.409000,0.335581
738.409000,0.366894
741.410000,0.394504
744.408000,0.426853
747.408000,0.456877
750.408000,0.489937
753.408000,0.520454
756.408000,0.553983
759.406000,0.588161
762.406000,0.622907
765.407000,0.658928
768.407000,0.695305
771.407000,0.732360
774.405000,0.765712
777.405000,0.803470
780.405000,0.841985
783.405000,0.879910
786.406000,0.918300
789.406000,0.958720
792.404000,0.997113
795.404000,1.037954
798.404000,1.079054
801.404000,1.118691
804.404000,1.156456
807.403000,1.194877
810.403000,1.236707
813.403000,1.279132
816.403000,1.322336
819.403000,1.363463
822.403000,1.403801
825.401000,1.448262
828.401000,1.489389
831.402000,1.529577
834.402000,1.571789
837.402000,1.615427
840.400000,1.656071
843.400000,1.699234
846.400000,1.739708
849.400000,1.781828
