d,freq1,freq2,Lc,Ls,FL
0.02,380,1075,699.8,6379.2,17.5
0.018,222,1017,699.8,6379.2,17.5
0.0199,308,1039,699.8,6379.2,17.5
0.0158,459,1109,699.8,6379.2,17.5
0.0208,166,986,699.8,6379.2,17.5
0.0191,234,1006,699.8,6379.2,17.5
0.0174,301,1034,699.8,6379.2,17.5
0.0185,193,994,699.8,6379.2,17.5
